Data,Srednia temperatura powietrza,Maksymalna temperatura powietrza,Minimalna temperatura powietrza,Minimalna temperatura powietrza przy gruncie,Srrednia wilgotnosc powietrza,Srednia prezystosc pary wodnej,Srednie zachmurzenie,Srednia predkosc wiatru,Czas trwania wiatru >= 10 m/s,Czas trwania wiatru >= 15 m/s,Cisnienie na poziomie morza,Cisnienie na poziomie stacji,Dobowa suma opadu,Opad - dzien,Opad - noc,Wysokosc pokrywy snieznej,Rownowaznik wodny sniegu,Uslonecznienie,Czas trwania opadu deszczu,Czas trwania opadu sniegu,Czas trwania opadu deszczu ze sniegiem,Czas trwania mgly,Czas trwania rosy,Czas trwania szronu,Czas trwania burzy
2010-01-01,-1.7,-0.4,-2.7,-2.7,95.6,5.2,8.0,2.0,0.0,0.0,995.6,980.1,0.4,0.3,0.1,4,0.0,0.0,-,11.2,-,1.3,-,-,-
2010-01-02,-2.8,-2.3,-3.4,-3.4,92.1,4.6,8.0,2.8,0.0,0.0,1008.5,992.8,1.9,1.6,0.3,4,0.0,0.0,-,20.5,-,-,-,-,-
2010-01-03,-4.5,-2.6,-5.8,-6.8,89.5,3.9,7.5,2.0,0.0,0.0,1019.6,1003.6,0.0,0.0,0.0,9,1.7,0.4,-,5.2,-,-,-,-,-
2010-01-04,-7.5,-5.7,-9.5,-13.4,93.9,3.3,7.8,2.1,0.0,0.0,1018.7,1002.5,0.0,0.0,0.0,9,1.1,0.0,-,5.1,-,-,-,-,-
2010-01-05,-8.6,-5.6,-12.1,-16.0,92.8,3.0,6.1,1.5,0.0,0.0,1012.5,996.4,0.0,0.0,0.0,9,1.7,5.2,-,-,-,8.9,-,8.0,-
2010-01-06,-3.5,-2.7,-9.2,-11.1,91.0,4.3,8.0,2.3,0.0,0.0,1004.2,988.5,0.0,0.0,0.0,8,2.3,0.0,1.1,5.4,-,-,-,0.6,-
2010-01-07,-6.6,-3.9,-9.3,-14.8,85.8,3.3,6.1,1.4,0.0,0.0,1011.6,995.6,0.0,0.0,0.0,8,2.1,0.0,-,1.9,-,-,-,5.0,-
2010-01-08,-7.2,-4.4,-14.3,-17.2,91.1,3.4,7.8,2.4,0.0,0.0,1019.8,1003.7,7.2,1.8,5.4,8,1.3,0.0,-,13.6,-,-,-,10.4,-
2010-01-09,-3.2,-1.9,-5.0,-5.0,93.1,4.5,8.0,3.3,0.0,0.0,1012.7,996.9,10.0,4.6,5.4,19,1.2,0.0,3.2,18.2,-,-,-,-,-
2010-01-10,-2.3,-0.8,-4.1,-4.3,92.1,4.8,8.0,3.1,0.0,0.0,1011.7,996.0,3.0,2.5,0.5,23,1.8,0.0,0.7,14.9,-,-,-,-,-
2010-01-11,-4.9,-4.1,-5.6,-5.5,94.4,4.0,8.0,1.6,0.0,0.0,1017.5,1001.5,0.0,0.0,0.0,24,1.6,0.0,-,0.8,-,1.9,-,-,-
2010-01-12,-4.1,-2.3,-7.2,-8.3,93.9,4.3,8.0,1.4,0.0,0.0,1020.8,1004.8,0.0,0.0,0.0,24,1.6,0.0,3.7,5.6,-,4.8,-,-,-
2010-01-13,-2.8,-2.0,-3.8,-3.9,90.5,4.5,8.0,4.6,0.0,0.0,1017.1,1001.3,0.0,0.0,0.0,22,1.8,0.0,-,-,-,-,-,-,-
2010-01-14,-3.0,-1.9,-3.7,-3.7,92.3,4.5,8.0,4.8,0.0,0.0,1017.6,1001.7,0.0,0.0,0.0,22,2.0,0.0,-,2.5,-,-,-,-,-
2010-01-15,-3.6,-2.9,-4.5,-4.5,91.4,4.3,8.0,3.6,0.0,0.0,1026.8,1010.8,0.0,0.0,0.0,21,2.2,0.0,-,-,-,-,-,-,-
2010-01-16,-3.9,-2.9,-4.5,-4.3,89.9,4.1,8.0,5.5,0.0,0.0,1030.4,1014.3,0.0,0.0,0.0,20,1.9,0.0,1.5,-,-,-,-,-,-
2010-01-17,-2.2,0.3,-5.4,-5.8,90.1,4.7,7.6,6.3,0.0,0.0,1019.3,1003.4,2.3,0.4,1.9,18,2.0,0.0,-,10.6,-,-,-,-,-
2010-01-18,0.3,1.2,-0.7,-0.9,95.5,6.0,8.0,2.1,0.0,0.0,1023.1,1007.3,1.0,0.7,0.3,21,1.7,0.0,2.6,9.9,2.5,3.4,-,-,-
2010-01-19,0.3,1.1,-0.1,-0.9,94.1,5.9,7.6,1.3,0.0,0.0,1023.8,1008.0,0.1,0.0,0.1,20,2.2,0.0,2.5,2.8,-,0.7,-,-,-
2010-01-20,-5.3,0.2,-6.9,-6.9,87.6,3.7,7.6,3.4,0.0,0.0,1022.9,1006.8,0.4,0.0,0.4,17,2.4,0.0,-,11.6,-,-,-,-,-
2010-01-21,-8.3,-6.8,-9.4,-9.6,81.8,2.7,7.9,3.6,0.0,0.0,1027.4,1011.0,0.0,0.0,0.0,19,2.4,0.0,-,10.2,-,-,-,-,-
2010-01-22,-8.9,-7.3,-10.9,-11.7,80.5,2.5,7.5,3.5,0.0,0.0,1033.1,1016.6,0.0,0.0,0.0,19,2.6,0.5,-,2.3,-,-,-,-,-
2010-01-23,-14.6,-7.7,-17.7,-19.9,82.8,1.7,1.9,3.5,0.0,0.0,1033.8,1016.9,0.0,0.0,0.0,18,2.2,4.7,-,3.5,-,-,-,-,-
2010-01-24,-15.7,-11.9,-18.9,-20.6,76.1,1.4,2.1,4.4,0.0,0.0,1035.5,1018.5,0.0,0.0,0.0,17,2.4,7.4,-,-,-,-,-,5.0,-
2010-01-25,-13.4,-10.2,-17.9,-20.8,76.3,1.7,7.3,4.0,0.0,0.0,1036.6,1019.8,0.0,0.0,0.0,16,2.3,2.1,-,-,-,-,-,4.0,-
2010-01-26,-14.7,-9.9,-17.5,-19.7,74.1,1.4,1.8,1.8,0.0,0.0,1039.9,1022.9,0.0,0.0,0.0,16,2.6,6.6,-,-,-,-,-,6.5,-
2010-01-27,-14.3,-10.2,-21.0,-22.6,75.5,1.6,5.5,2.0,0.0,0.0,1028.0,1011.3,1.9,0.0,1.9,15,2.6,3.2,-,6.9,-,-,-,1.8,-
2010-01-28,-1.8,1.9,-10.2,-10.0,85.4,4.7,7.5,7.5,0.0,0.0,995.8,980.3,1.8,0.2,1.6,24,2.0,0.3,-,13.8,-,-,-,-,-
2010-01-29,-0.4,1.5,-3.8,-6.0,81.3,4.8,6.8,4.9,0.0,0.0,990.6,975.3,0.1,0.0,0.1,27,2.4,0.7,-,3.8,-,-,-,-,-
2010-01-30,-0.6,1.7,-2.0,-3.3,72.3,4.2,5.1,6.0,0.0,0.0,988.4,973.1,0.0,0.0,0.0,25,2.5,6.0,-,2.5,-,-,-,-,-
